Name,Ingredients,link to dish,Making steps
Моя думляма,"['баранина', 'сало курдючное', 'масло растительное', 'лук', 'морковь', 'картофель', 'помидоры', 'чеснок', 'перец красный стручковый', 'зелень', 'специи']",/recipes/recipe.php?rid=23223,"Фрукты промыть в теплой воде, залить холодной водой и варить на слабом огне под крышкой 30 мин. К столу подавать в охлажденном виде."
Бараньи ребрышки с луком,"['сало баранье', 'масло растительное', 'рёбрышки бараньи', 'лук', 'соль', 'зира', 'семена кориандра']",/recipes/recipe.php?rid=23127,"Приготовить фарш из баранины. Пропустить через мясорубку с крупной решеткой, добавить нашинкованный лук, соль, зиру, молотый перец и сырые яйца, все перемешать. Приготовить тесто, как указано в рецепте Манты, и дать отстояться минут 10—15. Затем разделить тесто на 150-граммовые куски, скатать их в шар и раскатать каждый в отдельности на тонкие  2 мм круглые лепешки — сочни. В каждый сочень положить по 200 г фарша и оформить большие манты круглой или овальной формы. Смазав ярусы паровой кастрюли жиром, уложить манты так, чтобы они не прикасались друг к другу, и варить на пару в течение 1 часа. Готовые манты положить в касы по 1 штуке на порцию, полить бульоном и смазать кислым молоком."
Манты с тыквой,"['тыква', 'лук', 'соль', 'перец красный', 'шкварки', 'сало курдючное', 'масло топлёное', 'сметана', 'тесто для мант']",/recipes/recipe.php?rid=654,"В раскаленном жире пережарить лук. Мясо, нарезанное кусочками, жарить вместе с луком до образования красной корочки, затем в котел налить воды, дать закипеть. В это же время добавить соль и специи. Когда закипит зирвак, в котел положить картофель, нарезанный крупной соломкой шпалками и, не доводя до кипения, засыпать рис. После упарки влаги закрыть тарелкой, довести до готовности. При подаче плова на стол, сначала положить на блюдо рис, сверху картофель и мясо. К плову подать салат."
Думляма,"['баранина', 'картофель', 'помидоры', 'морковь', 'лук репчатый', 'чеснок', 'перец острый', 'жир курдючный', 'лавровый лист', 'зира', 'перец чёрный молотый', 'соль', 'зелень']",/recipes/recipe.php?rid=132806,"В горячую подсоленную воду добавляют топленое или сливочное масло, замешивают тесто, накрывают салфеткой, дают постоять. Через 1015 минут раскатывают в пласт толщиной 0,5 см, смазывают бараньим салом или сметаной, сворачивают в рулет, а рулет, взяв за оба конца руками, одновременным движением левой руки вперед, а правой  назад, скручивают несколько раз. Из получившегося жгута нарезают куски по 250300 г и раскатывают из них круглые лепешки толщиной по краям 2 см, а по середине  1 см. Середину чуть накалывают, смазывают слегка сметаной и выпекают в духовке."
Плов с репой,"['рис', 'мясо мягкое', 'морковь', 'репа', 'редька', 'редис', 'лук', 'соль', 'перец']",/recipes/recipe.php?rid=636,"Тушку курицы, гуся или индюка разделить на порционные куски, промыть и, посыпав мелкой солью, отставить. В котле перекалить масло, положить послойно куски мяса, нарезанный лук вместе с душистой зеленью, затем еще слой мяса и лука и т. д. Затем залить небольшим количеством воды. Плотно закрыть крышкой и томить на очень слабом огне в течение 1 часа. Мясо сварится на пару и изжарится на собственном жире. Готовое блюдо подается на стол с солеными или свежими помидорами, огурцами, редиской или редькой."
Курут — сухой творог,"['молоко', 'молоко кислое']",/recipes/recipe.php?rid=26912,"Цельное молоко вскипятить, охладить до 25—30, заквасить кислым молоком, поставить в теплое место. После образования плотного сгустка осторожно перенести его на несколько слоев марли, дать стечь сыворотке, сгусток завернуть в марлю и положить под пресс на 5—6 часов, после чего высушить полученный творог в теплом месте при температуре 35—40. Курут сохраняется долгое время месяц и более."
Тесто для плова,"['мука', 'яйца', 'вода', 'соль']",/recipes/recipe.php?rid=645,"Приготовить крутое тесто только на яйцах, раскатать и нарезать лапшу. Высушить на солнце или на смазанных противнях духовки. После этого обмять ладонями так, чтобы из лапши получились мелкие кусочки, напоминающие зерна риса."
"Плов раздельный, по-самаркандски","['рис', 'морковь', 'лук', 'жир', 'соль', 'специи', 'мясо мягкое']",/recipes/recipe.php?rid=623,"Промыть рис три-четыре раза в холодной воде, положить в кастрюлю с соленой водой, дать закипеть. Затем рис переложить в мешочки и дать стечь воде. Очистить морковь и в целом виде отварить вместе с мясом. Вареное мясо нарезать кусками, а морковь — соломкой, все перемешать, добавить немного соли, молотого черного или красного перца. В сильно раскаленном жире пережарить лук. Когда лук подрумянится, вынуть из котла и смешать его с мясом и морковью. Это блюдо подают каждому отдельно в касах или в тарелках. В каждую касу положить сначала немного сваренного риса, полить его сильно разогретым жиром, уложить сверху мясо, морковь, лук, полить остальным жиром и подать к столу. К плову подать салат из вишни."
"Шолгом димлама – мясо, тушенное с репой","['баранина', 'репа', 'луковицы', 'зира', 'перец молотый', 'соль']",/recipes/recipe.php?rid=86185,"Жирную баранину вместе с салом и косточками разделить на кусочки примерно по 15—20 г. Посыпать солью, специями и, перемешав с нашинкованным луком, отставить. Очистить репу от кожицы, промыть в проточной воде и нарезать дольками или кусочками длиной по 5—7 см, шириной по 3—4 см и толщиной в 1 см. Кусочки мяса и репы соединить, положить в эмалированную кастрюлю, накрыть тарелочкой, придавить грузом и залить водой так, чтобы покрылось содержимое. Поставить на огонь, после закипания сразу уменьшить пламя до предела и томить в течение 60—70 мин. Перед подачей на стол кусочки мяса и репы положить на тарелку, соус подать отдельно."
Ерма (суп с дробленой пшеницей),"['баранина', 'масло топлёное', 'сало курдючное', 'пшеница', 'лук репчатый', 'перец красный', 'соль']",/recipes/recipe.php?rid=111544,"Нагревают в кастрюле топленое масло или курдючное сало, пережаривают в нем мелко нарезанное мясо, лук, заливают водой, кладут стручок красного перца. Когда закипит вода, засыпают дробленую пшеницу и варят час. Ерму едят, запивая кислым молоком."
Баранина печеная со сметаной,"['чеснок', 'мука', 'сметана', 'баранина', 'жир', 'маринад для баранины по-узбекски']",/recipes/recipe.php?rid=4260,"Мясо обмывают, удаляют жир и пленки и заливают маринадом, так, чтобы он наполовину покрыл мясо. Посуду накрывают крышкой и ставят в прохладное место на 2—4 дня, мясо ежедневно переворачивают. Затем вынимают из маринада, обсушивают, натирают растертым с солью чесноком, посыпают мукой, обжаривают на сильно разогретом жире, перекладывают на противень, смазывают жиром и ставят в духовку. Во время жарения поливают жиром, сбрызгивая маринадом. Если мясо при прокалывании не выделяет красный сок, его заливают смешанной с мукой сметаной, а затем запекают. Баранину срезают с обеих сторон позвоночника, нарезают поперек и немного наискось довольно толстыми ломтями, укладывают на кости и заливают образовавшимся при приготовлении соусом. Подают с картофелем, макаронными изделиями, овощами."
Узбекский напиток Айран,"['простокваша', 'лед пищевой', 'вода']",/recipes/recipe.php?rid=30448,"Простоквашу разводят холодной кипяченой водой и тщательно размешивают. Разливают в стаканы или пиалы, в которые кладут кусочек пищевого льда."
Плов по-узбекски,"['баранина', 'рис', 'морковь', 'лук репчатый', 'жир', 'перец красный молотый', 'барбарис сушеный', 'вода']",/recipes/recipe.php?rid=87544,"На дно посуды налейте жир слоем в 2 см. Это может быть растительное масло оливковое, кунжутное пополам со сливочным или животным жиром, предварительно подогретым на слабом огне. В разогретый жир сначала опустите небольшие кусочки мяса, затем кольца лука и нарезанную соломкой морковь. Продукты не должны прилипать ко дну, а тем более пригорать. Когда мясо покроется румяной корочкой, продукты залейте водой, положите специи, засыпьте промытый рис лучше всего с удлиненными зернами. Его осторожно разравнивают, но ни в коем случае не перемешивают с другими компонентами. Рис должен находиться сверху и быть покрытым водой примерно на 1 см. Плов варите, не накрывая крышкой. Когда же рис впитает всю воду и станет рассыпчатым, посуду закройте крышкой и держите на слабом огне еще 15—20 минут. Подается плов, как правило, на большом общем блюде. Вниз кладется рис, а сверху — мясо. Плов нужно готовить в специальной посуде — казане, гусятнице неэмалированной."
Манты с картофелем,"['картофель', 'лук', 'масло топлёное', 'шкварки', 'соль', 'перец чёрный', 'тесто для мант']",/recipes/recipe.php?rid=658,"Очищенный картофель нарезать соломкой, добавить лук, топленое масло или шкварки, посолить, посыпать черным или красным перцем, все перемешать. Приготовить тесто, как для манты. Варить манты с картошкой в каскане на пару 25—30 минут. При подаче на стол манты смазать топленым или сливочным маслом."
Соус красный грибной,"['грибы свежие', 'мука', 'маргарин', 'лук', 'бульон грибной', 'томат-пюре', 'соль', 'лавровый лист', 'перец']",/recipes/recipe.php?rid=763,"Муку спассировать с жиром, развести грибным бульоном, хорошо размешать, посолить и варить 15— 20 мин при слабом кипении, после чего процедить. Лук мелко нашинковать и спассировать до полуготовности, добавить мелко нарезанные грибы и спассировать 5— 7 мин. В процеженный соус добавить лук и подготовленные грибы, пассированный томат-пюре, заправить перцем, лавровым листом и варить 10—15 мин. Подать соус к картофельным и крупяным блюдам, котлетам, рулетам."
Шашлык по-кокандски,"['баранина', 'печень говяжья', 'соль', 'перец чёрный', 'сало']",/recipes/recipe.php?rid=707,"Приготовляется из свежей баранины и печени без маринада. Мясо мякоть и печень нарезать на кусочки величиной с грецкий орех, посыпать мелкой солью и черным перцем, затем нанизать на специальный трех-, четырехрожковый шампур. Чередовать кусок мяса с кусками сала и печени т. д. Сначала докрасна обжарить одну сторону, а затем — другую. Подать на стол в тарелках, сняв с шампура, вместе со свежими овощами и кислыми фруктами, или же без гарнира, просто политым виноградным уксусом."
Плов по-узбекски,"['баранина', 'рис', 'морковь', 'лук репчатый', 'сало баранье', 'масло растительное', 'анис', 'барбарис', 'перец красный молотый', 'соль']",/recipes/recipe.php?rid=109231,"Рис предварительно замочить на 2 часа в подсоленной воде 10 г соли на 1 л воды. Баранину нарезать кусочками по 1015 г и обжарить в чугунном казане котле в сильно разогретом жире до образования румяной корочки. Затем добавить нарезанные соломкой лук и морковь и жарить все вместе. Эта смесь называется зирвак. Затем влить горячую воду и припустить зирвак на слабом огне до готовности. После этого добавить набухший в воде рис, причем он должен находиться на поверхности зирвака, образуя толстый слой, иначе он может прилипнуть ко дну казана. Посолить, добавить специи — анис, барбарис или молотый перец можно добавить также промытую сушеную курагу из расчета 20 г на порцию. Влить горячую воду в количестве, равном весу риса, набухшего в воде на 1 кг сухого риса — 2,1 л воды, а для замоченного риса — на 30 меньше, т. е. 1,47 л. Варить, пока вода не испарится, потом шумовкой собрать плов к середине горкой, проколоть в нескольких местах палочкой, плотно закрыть крышкой и довести на очень слабом огне до готовности 2025 минут. При подаче плов уложить горкой, а сверху выложить кусочки мяса и посыпать нашинкованным луком. Отдельно подать маринованные или соленые огурцы."
Плов по-узбекски,"['баранина', 'рис', 'морковь', 'лук репчатый', 'сало курдючное', 'перец чёрный молотый', 'соль']",/recipes/recipe.php?rid=46612,"Мясо, нарезанное кусочками по 10—15 г, обжарить в нагретом жире до образования корочки, затем добавить лук и морковь и жарить все вместе. Влить воду в количестве, в полтора раза большем веса риса, положить соль и специи, разровнять поверхность шумовкой и варить. Когда рис впитает в себя воду, снова разровнять поверхность шумовкой, сделать углубления и влить в них 4—6 ложек кипяченой воды. Котел плотно закрыть крышкой и доварить на слабом огне в течение 20—25 минут. При подаче плов положить на тарелку горкой, сверху — кусочек мяса и посыпать нашинкованным луком."
Суп с клецками по-узбекски,"['вода', 'мякоть баранья', 'помидоры', 'луковицы', 'картофель', 'морковь', 'перец сладкий', 'яйца', 'лавровый лист', 'базилик', 'мука', 'масло топлёное', 'соль', 'перец']",/recipes/recipe.php?rid=71301,"Из муки, 12 стакана воды, соли и яйца замесить крутое тесто, раскатать его в тонкий пласт и вырезать клецки в форме треугольников. Лук и морковь очистить, нашинковать, поместить в кастрюлю с разогретым топленым маслом вместе с кусочками мяса и обжарить. Затем добавить дольки помидора, соль, лавровый лист и продолжать жарить еще 10 минут, периодически помешивая массу. Через 5 минут положить в суп очищенные и нарезанные картофель и сладкий перец и влить воду. Суп довести до кипения, всыпать в кастрюлю клецки и варить 20 минут. Готовое блюдо поперчить, посыпать измельченным базиликом и подать к столу."
Плов по-хорезмски,"['баранина', 'рис', 'морковь', 'лук', 'жир', 'пряности', 'соль']",/recipes/recipe.php?rid=111612,"Мясо нарезают крупными кусками по 6080 г, обжаривают в масле, затем добавляют обжаренный лук, после чего вливают четверть стакана воды и дают ей закипеть и только после этого закладывают заранее подготовленную морковь, нарезанную вдоль пластинками шириной 1 см и толщиной 23 мм, соль и пряную смесь. Затем в зирвак доливают воду так, чтобы она покрыла содержимое казанка, плотно закрывают крышкой и томят 23 часа на очень слабом огне. Потом закладывают рис, вновь доливают воду, солят по вкусу и продолжают варить еще 30 минут. Готовый плов не размешивают, а перекладывают на тарелки слоями."
Плов из дичи по-узбекски,"['рис', 'вода', 'фазан', 'жир', 'лук', 'морковь', 'соль', 'уксус виноградный', 'зелень', 'соль', 'перец']",/recipes/recipe.php?rid=112760,"За день до приготовления плова нужно замариновать грудки тушек дичи фазана, куропатки и др. с мелко нашинкованным репчатым луком, черным или красным молотым перцем, уксусом, зеленью. Рис перебрать, промыть в теплой воде и замочить. Выбрать котел, учитывая, что при варке плова объем риса увеличится. В котле растопить масло и обжарить в нем фазаньи грудки, нарезанный мелкими ломтиками лук, нашинкованную на крупной терке морковь. Добавить половину необходимого количества воды и соли. Поперчить. Быстро довести до кипения, а затем, уменьшить огонь и тушить без кипения 20-30 минут. Засыпать рис поверх обжаренных продуктов, иначе он прилипнет к котлу. Осторожно долить остальную воду, но чуть меньше нормы, учитывая, что при замачивании в рис уже впиталось некоторое количество воды. Посолить. Варить на сильном огне. Когда рис станет рассыпчатым, разровнять его поверхность, сделав в плове углубление, и подлить 1-2 ст. гожки горячей воды. Ни в коем случае не мешать Затем закрыть котелок крышкой и варить на слабом огне 20-25 минут. Готовый плов положить горкой на плоское блюдо, сверху — мясо. Подать любой салат — из помидоров, лука, редиса, редьки, граната и лука, вишни."
Салат «Зарафшан»,"['курица отварная', 'картофель отварной', 'яйца', 'зелень сельдерея', 'помидоры', 'огурцы свежие', 'майонез', 'соус Южный', 'зелень кинзы', 'соль', 'перец']",/recipes/recipe.php?rid=107467,"Мелко нарезанный тонкой соломкой сырой картофель бланшируют в подсоленной воде в течение 8 — 10 мин, затем промывают холодной кипяченой водой и откидывают на дуршлаг. Готовый картофель выкладывают в миску, добавляют нарезанные соломкой вареную мякоть курицы, огурцы, помидоры, сваренные вкрутую и измельченные яйца, зелень. Все заправляют солью, черным молотым перцем, майонезом и соусом Южный, перемешивают. Салат укладывают горкой в салатник, украшают кусочками куриного филе, дольками сваренного вкрутую яйца, фигурно нарезанными овощами, веточками зелени."
Манты по-узбекски,"['баранина', 'сало курдючное', 'лук репчатый', 'вода', 'соль', 'перец чёрный молотый', 'мука', 'вода', 'соль', 'масло растительное']",/recipes/recipe.php?rid=109234,"Подготавливают продукты по рецепту мантов по-узбекски. Как приготовить манты по-узбекскиМуку просеивают, вливают воду, солят. Из муки и воды с солью замешивают крутое тесто, скатывают в шар и оставляют для набухания на 10 минут. Приготовление фарша. Мякоть баранины пропускают через мясорубку с крупной решеткой или мелко рубят. Лук очищают и очень мелко режут. В фарш добавляют мелко нашинкованный репчатый лук, черный молотый перец, соль, немного воды 1-2 ст. ложки и тщательно перемешивают. Тесто разделяют на порции 12-14 шт. Затем раскатывают сочни толщиной 1-2 мм, диаметром 10 см, На середину каждого сочня кладут фарш. Сверху выкладывают кусочек курдючного сала величиной с миндалину. Защипывают в середине, придавая изделию круглую форму. Чтобы тесто не подсохло и не стало хрупким, сырые манты покрывают салфеткой. Решетку пароварки или, если есть, ярусы паровой кастрюли каскан смазывают маслом, укладывают на них манты так, чтобы они не соприкасались друг с другом, сбрызгивают холодной водой и варят на пару 45 мин. закрыв крышкой. Манты по-узбекски готовы"
Манты,"['мясо мягкое', 'лук', 'вода соленая', 'перец чёрный', 'сало курдючное', 'сало нутряное', 'тесто для мант', 'приправа для мант']",/recipes/recipe.php?rid=651,"Приготовить крутое тесто, скатать в шар, дать отстояться 10 минут. Затем тонко раскатать скалкой сочень толщиной 1— 2 мы, нарезать на квадратики по 10X10 см, положить на каждый квадрат теста по столовой ложке фарша, кусочку курдючного сала, сделать манты. Чтобы тесто не подсохло и не стало хрупким, сырые манты надо покрыть салфеткой. Ярусы паровой кастрюли смазать маслом, уложить на них манты так, чтобы они не соприкасались друг с другом, сбрызнуть холодной водой, закрыть крышкой и варить на пару 45 минут. Готовые манты подать в касах, положив на порцию по 4 штуки, или в большом блюде, залить бульоном, заправить кислым, молоком или сметаной, посыпать черным перцем. Отдельно по, дать виноградный уксус. Фарш для манты приготовить следующим образом мякоть баранины или говядины пропустить через мясорубку с крупной решеткой или нарезать мелкими кусочками. В фарш добавить мелко нашинкованный лук, черный молотый перец, тмин, немного соленой воды, хорошо перемешать. Для начинки курдючное или нутряное сало нарезать кусочками величиной с миндаль."
Колбаса «вегетарианская»,"['картофель', 'яйца', 'грибы сушёные', 'лук', 'масло сливочное', 'мука', 'зелень петрушки']",/recipes/recipe.php?rid=767,"Отварить в подсоленной воде 1,5 кг очищенного картофеля, процедить, протереть, смешать с 4 взбитыми яйцами, 8 чайными ложками муки, 2 столовыми ложками растопленного масла и 2 столовыми ложками шинкованного, подрумяненного в масле лука. Отварить и мелко порубить 50 г белых сушеных грибов, смешать с картофелем. Раскатать эту смесь продолговатым пластом, около 15 см шириной на доске, посыпанной мукой. Разложить вдоль середины пласта в длину вплотную друг к другу 5 круто сваренных яиц. Закрыть яйца боковыми частями картофельного пласта, имитируя толстую колбасу. Обвалять в муке, обжарить румяно в закипевшем масле. Подавая, украсить плоско разложенными одна за другой вдоль середины колбасы веточками свежей петрушки. Разрезать ломтями наискосок. Подать зеленый салат с заправкой."
Кади яхнаси — холодная закуска из тыквы,"['тыква', 'масло сливочное', 'сметана', 'соль']",/recipes/recipe.php?rid=85975,"Спелую тыкву любого сорта очистить от кожуры и семян, промыть в холодной воде, нарезать крупными кубиками 5х5х5 см, посыпать солью, отварить на пару в течение 40 мин. Снять на тарелку, смазать топленым сливочным маслом, охладить и подать на ужин или на завтрак, полив сметаной. Паровая тыква — очень хорошая диета при желудочно-кишечных заболеваниях гастрит, копит, язвенная болезнь."
"Ваджа ""почти по-узбекски""","['картофель', 'редька', 'помидоры', 'морковь', 'корень петрушки', 'перец  болгарский зелёный', 'капуста белокочанная', 'чеснок', 'пряности', 'бульон', 'лапша']",/recipes/recipe.php?rid=5064,"Мелко нашинковать картофель, редьку, морковь и петрушку. Проварить овощи в бульоне в течение 4 мин. Ввести в кастрюлю перец, нарезанный кольцами и капусту, нарезанную соломкой. Варить на небольшом огне. Капуста должна остаться с хрустинкой, картофель же сварить полностью. Кастрюлю отставить на край плиты и заправить мелко нарезанными помидорами вместе с растертым чесноком. Все это соединить с отварной лапшой. Лапшу всегда следует отваривать непосредственно перед едой."
Ивитма палов – плов из замоченного риса с горохом,"['рис', 'горох сушеный', 'мясо', 'сало', 'морковь', 'лук', 'соль', 'специи']",/recipes/recipe.php?rid=86012,"Перебранный рис промыть в нескольких водах и замочить в теплой подсоленной воде в течение 2 часов. А промытый горох нухот замачивается в холодной воде за 10—12 часов до приготовления плова. Когда рис и горох набухнет, начинать приготовлять  плов очистить лук и нашинковать кольцами, очищенную морковь нарезать горошком, то есть кубиками 1х1х1 см, мясо — кусками по 150—200 г. В котле с шарообразным дном раскалить жир, положить куски мяса и обжарить до образования слабой корочки, затем положить кольца лука, помешивая, спассеровать на умеренном огне. Как только лук начнет изменять цвет, положить морковь и замоченный горох. Залить водой до уровня содержимого котла и варить на медленном огне до смягчения гороха, то есть в течение 1 часа. После чего заправить солью и специями. Слить воду замоченного риса и ровным слоем положить   на   морковь.   Поскольку   рис   впитал   определенное количество влаги при замачивании, воды налить несколько меньше, чем при приготовлении плова по-фергански. Усилить пламя, добиться бурного кипения, время от времени рисовый слой перелопачивать шумовкой, при этом следить за тем, чтобы рис не смешивался с морковью. Когда испарится вся влага и рис сварится, собрать его горкой к середине котла, убрать огонь и накрыть миской на 20—25 минут для упревания. По готовности смешать содержимое котла, отделить мясо, плов выложить на блюдо горкой, мясо нарезать на мелкие кусочки и положить сверху."
Шашлык из рубленого мяса по-узбекски,"['баранина', 'лук', 'мука', 'яйца', 'соль', 'перец']",/recipes/recipe.php?rid=34821,"Баранину и лук два раза пропустить через мясорубку, добавить сырое яйцо, соль, перец и тщательно все перемешать. Сформовать колбаски по 10 - 20 г, нанизать их на плоские шампуры, посыпать мукой и запекать в гриле в течение 20 - 25 минут при температуре 200. Отдельно подать салат из кислого граната с луком."
Овощная закуска по-ташкентски,"['фасоль белая', 'лук репчатый', 'перец болгарский', 'чеснок', 'масло растительное', 'сметана', 'томат-паста', 'масло сливочное', 'зелень укропа', 'соль', 'перец']",/recipes/recipe.php?rid=111787,"Предварительно замоченную фасоль выкладывают в сковороду, вливают немного воды, добавляют растительное масло, соль и тушат в течение 40 минут. Затем охлаждают, смешивают со сливочным маслом, томатной пастой, очищенными и нарезанными полукольцами луком и болгарским перцем, измельченными чесноком и зеленью укропа. Готовое блюдо посыпают перцем, заправляют сметаной и подают к столу."
Чупан Кебаб,"['мякоть баранья', 'мякоть говяжья', 'лук репчатый', 'уксус столовый', 'соль', 'перец чёрный', 'перец красный']",/recipes/recipe.php?rid=24992,"Вырезку говяжью или баранью разрезать на 2 части, отбить каждую деревянным молотком с обеих сторон, нарезать полосками длиной 15 см и шириной 3 см, посыпать солью, перцем, уложить в глиняную посуду рядами, пересыпав тонко нашинкованным репчатым луком, полить столовым уксусом, положить пресс, оставить на 2 часа. Затем полоски мяса одеть на шпажки и жарить на хорошо прогоревших углях, поворачивая шпажки, до образования румяной корочки. Подать к столу на шпажках или выложить готовый шашлык на тарелки. К шашлыку можно подать салат из кислого граната с репчатым луком."
Плов узбекский,"['баранина', 'рис отварной', 'морковь', 'лук', 'масло растительное']",/recipes/recipe.php?rid=21909,"Баранину нарезать небольшими кусочками, положить в посуду, добавить растительное масло и готовить при полной мощности 5 мин. Нашинковать морковь, лук, смешать с бараниной и готовить при полной мощности 3 мин. Затем залить баранину и овощи 2 стаканами воды, добавить соль, перец и готовить 3 мин. Добавить отварной рис, накрыть крышкой и довести до готовности при 50 мощности в течение 8 мин."
"Халтадаги савот, или «Субботний плов в мешке»","['мясо', 'сало курдючное', 'лук', 'рис', 'соль', 'перец чёрный молотый', 'бульон', 'сухофрукты']",/recipes/recipe.php?rid=23363,"Одинаковое количество мяса и сала нарезать очень мелкими кусочками, как на фарш. Взять риса вдвое больше, чем мяса, хорошо промыть. Лук нарезать очень мелко, перемешать с мясом салом и черным перцем. Подготовленный фарш выложить в мешок, перевязать его, оставив сверху немного свободного места. Фарш варить в курином или мясном бульоне, желательно добавить в него кислые сухофрукты - алычу, чернослив, несладкую курагу, сушеную вишню. По сезону можно использовать свежие фрукты и ягоды, а также айву и кислые яблоки. Варят халтадаги савот от 6 часов до 16-18 часов, за это время 1-2 раза переворачивая мешочек."
Ажабсанда – овощи с мясом на пару,"['картофель', 'луковицы', 'помидоры', 'лук', 'чеснок', 'капуста', 'перец  болгарский зелёный', 'кинза', 'укроп', 'соль', 'перец молотый', 'мясо', 'сало']",/recipes/recipe.php?rid=86186,"Очистить все овощи. Картофель нарезать кубиками 1X1X1 см, морковь и капусту нашинковать тонкой соломкой, помидоры и лук нарезать кружочками, чеснок разделить на дольки, болгарский перец и зелень порубить. Мясо и сало нарезать на маленькие кусочки — миндалины. Блюдо готовится отдельно для каждого обедающего, на пару. Для этого на каждую персону взять фарфоровую касу, на дно положить из расчета на порцию картофель, нарезанный кубиками, затем мелко нарезанную соломкой морковь, дольки помидоров, кружочки лука, болгарского перца, нарезанную капусту, 1—2 дольки чеснока, посыпать рубленой зеленью, солью и специями, а сверху положить кусочки мяса и сала. Ажабсанду поставить на ярусы паровой кастрюли и варить на пару в течение 1 часа. Подается блюдо в той же посуде, в которой готовилось."
